title,question,answers
Elizabeth_II,What did Elizabeth start paying in the 1990 s?,income tax
Samoa,What country sent their military to protect their interests in Samoa?,Britain
Queen_Victoria,Where was Orsini from?,Britain
Great_Plains,what type of climate does the eastern great plains fall into?,humid subtropical climate
Dell,What market presence did Dell lack?,retail
Cyprus,Where are temperatures more extreme compared to the coast of Cyprus?,Inland
PlayStation_3,"What did the boot screen on the game consoles read before Sony changed it to ""PS3 PlayStation 3""?","""Sony Computer Entertainment"""
"Tucson,_Arizona",What is the next major town to the west on I-10?,Phoenix
Seven_Years%27_War,What other colony was taken by the British from Spain?,Manila in the Philippines
Pharmaceutical_industry,Governments grant permission to market drugs after how many years?,10 to 15 years on average
Universal_Studios,What Universal-International film was about a talking mule?,Francis
On_the_Origin_of_Species,What did Darwin admit about acquired characteristics in chapter one of On the Origin of Species?,"""The laws governing inheritance are quite unknown."""
Botany,What is used to rebuild cells?,organic molecules
Sino-Tibetan_relations_during_the_Ming_dynasty,Until what year frame did the Gelug exchange gifts with the the Ming?,1430s
Royal_assent,What text is written and sent back to the government if a bill is rejected?,"The Second Chamber of the States General has rejected the accompanying proposal of law."""
Saint_Helena,How many digits did Saint Helena change their phone numbers to?,5
PlayStation_3,How many free days of PlayStation Plus were included in the offer?,30
American_Idol,When did Simon Cowell announce he was no longer going to be a judge?,"January 11, 2010"
1973_oil_crisis,What made the oil crisis worse in the US?,Price controls
Pope_Paul_VI,What did Paul VI believe in keeping friendly to people of other Christian faiths?,Council language
University_of_Kansas,When was the KU Endowment founded?,1891
Daylight_saving_time,When does the table of rule sets the Windows operating system uses have to be updated?,when DST rules change
Literature,"Literature, regardless of how the definition is applied, can be interpreted as what?",written records
Canon_law,What is the Greek term for canon?,kanon
Computational_complexity_theory,Problems capable of theoretical solutions but consuming unreasonable time in practical application are known as what?,"['intractable', 'intractable problems']"
Queen_Victoria,"What was the exact time that Victorias Uncle, the King, died?",12 minutes past 2
To_Kill_a_Mockingbird,How long did Lee spend writing the book?,over two and a half years
Korean_War,Why were naval skirmishes not really seen in the Korean War?,neither Korea had a significant navy
Samoa,Is Samoa helped or hurt by political upheaval in the countries around them?,helped
Letter_case,What would be problematic for a multilingual character set or font to provide?,single codepoint
"Tucson,_Arizona",What Deputy was responsible for the death of Frank Stiwell?,Wyatt Earp
American_Idol,What genre of music did season ten American Idol contestant Lauren Alaina sing?,country
Indigenous_peoples_of_the_Americas,What regions suffer from state-sponsored abuse and violence?,Amazonian
Capacitor,What is the definition of the current I(t) through any component in an electric circuit?,the rate of flow of a charge Q(t) passing through it
Chihuahua_(state),Which U.S. state benefited from this road?,New Mexico
Nonprofit_organization,When did Ontario adopt the Canada Not-for-Profit Corporations Act?,2010
Steven_Spielberg,What film did Richard D. Zanuck and David Brown offer Steven Spielberg to direct?,Jaws
Rhine,The present Mediterranean Sea descends from what sea?,"['Tethys sea', 'Tethys']"
Alps,Where does the montane zone extend from?,"from 800 to 1,700 m"
Architecture,What new type of architecture was starting to come into being at this time?,Modern Architecture
Detroit,Which bank announced an investment into Detroit in 2014?,JPMorgan Chase
Nutrition,Through which manner are unabsorbed matter and waste products excreted?,feces
Wood,"After cellulose, what component is most plentiful in wood?",hemicellulose
"Punjab,_Pakistan",When did Punjab's weather pattern become unpredictable?,since the early 1970s
Mosaic,A church was built on top of the Byzantine church of the Lazarium in waht century?,the 6th
East_India_Company,What was the name of EIC headquartes?,East India House
"Jacksonville,_Florida",What was the name of the battle that marked the first Confederate win in Florida?,"['Skirmish of the Brick Church', 'The Skirmish of the Brick Church']"
Humanism,From where did this school of thought emerge?,the Greeks
Alfred_North_Whitehead,What is Whitehead's belief regarding the importance of relations?,"in Whitehead's view, relations take a primary role, perhaps even more important than the relata themselves"
Catalan_language,Whose writings are a good example of learned words in Catalan?,Roís de Corella
Modern_history,What is Italian Unification?,social movement that annexed different states of the Italian peninsula into the single state of Italy
Adolescence,Do early or late maturing girls have more unwanted pregnancies?,early maturing
Mexico_City,When did the new design of the museum open?,2011
Religion_in_ancient_Rome,How many bishops attended the First Council?,318
Arena_Football_League,"In 1987, what television station sometimes showed arena football games?",ESPN
The_Bronx,Where is a La Quinta being built in the Bronx?,the Mott Haven waterfront
Madonna_(entertainer),Whose concerts are extravagant live shows?,Madonna's
The_Bronx,When was 'The Wanderers' published?,1974
House_music,what was frequently an important element of UK house music?,humor
Insect,What kind of role do insects play in their ecosystem?,important
Bras%C3%ADlia,What kinds of hotels does Brasilia have?,"from inns, pensions and hostels to larger international chain hotels"
Gramophone_record,How was the moving coil microphone unique to the Wente type?,didn't require electronics installed in the microphone housing
Egypt,How many recent Iraqi refugees are in Egypt?,"150,000"
Packet_switching,2 differences betwen X.25 and ARPNET CITA technologies ,"['the division of functions and tasks between the hosts at the edge of the network and the network core.', 'division of functions and tasks between the hosts at the edge of the network and the network core', 'Two fundamental differences involved the division of functions and tasks between the hosts at the edge of the network and the network core']"
Buddhism,What does sila refer to?,overall principles of ethical behavior
Valencia,What country is Valencia in?,Spain
Hard_rock,What city's blues style produced hard rock precursors in electric blues?,Memphis
Professional_wrestling,How can a wrestler get around changing their ring name entirely?,typeset change
CBC_Television,Which CBC affiliate joined E! in February 2006?,CHBC-TV in Kelowna
Spectre_(2015_film),Spectre passed which movie to become the highest grossing IMAX release in the UK?,Avatar
Hydrogen,Where can oxonium ions be found?,in acidic solution with other solvents
"New_Haven,_Connecticut",Where did New Haven pizza style originated from?,Frank Pepe Pizzeria Napoletana
The_Times,"During the American Civil War, what classes of people did The Times support?",wealthy classes
United_States_Air_Force,Who signed the National Security Act of 1947? ,President Harry S Truman
Madonna_(entertainer),How did the Ciccone siblings behaved towards anyone brought to their home to replace their beloved mother?,rebelled
Portugal,"In the south of Portugal and on the Guadiana river basin, between what degrees does the average temperature fluctuate?",16–19 °C (60.8–66.2 °F)
The_Bronx,How much of the Bronx's population is non-Hispanic Black?,30.1%
Wood,What type of wood can hold four times as much of a load when dried?,spruce
Dominican_Order,How many female Dominican houses were there in Germany?,seventy-four
ASCII,What was IBM's PC DOS marketed as by Microsoft?,MS-DOS
Bermuda,What is the name of the first European explorer to reach Bermuda?,Juan de Bermúdez
Mexico_City,Who led the 4th division?,John A. Quitman
Gene,What does the typical definition of a gene categorize genes by?,their specific DNA loci
Gamal_Abdel_Nasser,Who did Nasser recruit to be Prime Minister?,Ali Maher
Oklahoma_City,Which side is the Black Chronicles Headquarters?,Eastside
Queen_(band),What Queen song was performed on a May 2012 episode of Glee?,We Are the Champions
Qing_dynasty,Who renamed the Qing dynasty in 1363?,Hong Taiji
Arnold_Schwarzenegger,Schwarzenegger underwent heart valve replacement in what year?,1997
University_of_Chicago,What geochemist developed the uranium-lead dating method into lead-lead dating?,Clair Cameron Patterson
Southampton,What is the public house where the men from Southampton Plot were tried called now?,Red Lion
"Santa_Monica,_California",What is Third Street access shut off from?,vehicles
Order_of_the_British_Empire,What is the Usher of the Order?,Gentleman Usher of the Purple Rod
Gamal_Abdel_Nasser,What did Nasser want to deny Chamoun?,a second presidential term
Protestantism,Who can become ordained to the Catholic priesthood after a period of study?,Protestant ministers who become Catholics
List_of_numbered_streets_in_Manhattan,Odd-numbered streets are one-way in which direction?,west
Printed_circuit_board,A conformal coating can be applied by spraying the PCB or by doing what else to it?,dipping
Heresy,What term is used to describe an individual in the early Church that introduced discord?,divisive person
The_Legend_of_Zelda:_Twilight_Princess,Who wrote the music used in the game's trailer and demo?,Koji Kondo
Pope_Paul_VI,What does Humanae Vitae mean?,Of Human Life
Glass,What type of glass absorbs some light?,colored
Child_labour,Where does child labour currently occur the most?,rural areas
Spectre_(2015_film),Which company verified contents of the leaked information?,Eon Productions
2008_Sichuan_earthquake,What is an estimate of losses to economics?,US$75 billion
Capital_punishment_in_the_United_States,"Along with United States Code Title 18 § 3596, what federal law limits the people who can witness a federal execution?",Code of Federal Regulations 28 CFR 26.4
Central_Intelligence_Agency,Lawrence Houston helped to draft what act in 1949?,Central Intelligence Agency Act
Sumer,What type of number system was standard in Sumer and Babylonia?,sexagesimal
Copper,What has pure copper been replaced with in the building of ships?,Muntz metal
Queen_Victoria,What year did Palmerston die?,1865
Crimean_War,What year did the Treaty of Paris fall?,1871
Cardinal_(Catholicism),"What happens if a Cardinal is named in pectore, and the pope dies?",the cardinalate expires
Jehovah%27s_Witnesses,What did Watch Tower Society literature tell Jehovah's Witnesses they should never seek?,controversy
Neptune,Where does methane in the south pole escape to on Neptune? ,the stratosphere near the pole.
Biodiversity,What decade did the term biological diversity become common usage in science and economics?,the 1980s
Anti-aircraft_warfare,"At long range what, in theory, could be used to set ranging calculations?",slide rules
Melbourne,What is the busiest seaport in Melbourne?,Port of Melbourne
Buddhism,What is the 3rd mark of existence?,Not-self
Printed_circuit_board,What object is used to expose selected parts of the photosensitive film to light?,mask
Glass,What type of glass did many Art Nouveau artists use?,cameo glass
Religion_in_ancient_Rome,What facet of a foreign people did Rome add to itself to promote order?,religious heritage
2008_Sichuan_earthquake,Who published the map of the earthquakes intensity?,CEA
2008_Sichuan_earthquake,What did officials order Chinese news media to stop reporting?,on school collapses
Nutrition,What group of natives suffered from beriberi?,Java
FC_Barcelona,What kind of tensions are the two teams viewed as displaying?,political and cultural
Capital_punishment_in_the_United_States,What tactic did inmates on death row use to delay their executions?,filing repeated writs of habeas corpus
PlayStation_3,"What PC Mag. staffer picked PS3 over Xbox in June, 2012? ",Will Greenwald
Madrasa,Who created a pathway for education for women in the Islamic world?,Muhammad's wives
Warsaw_Pact,When was reunification first proposed as an idea?,1952
Hellenistic_period,Which kings wre among the first to be Hellenized?,Thracian
Saint_Helena,How many endemic species of fungi have been found?,9
LaserDisc,"By 1990, how many American homes were estimated to use LD?",nearly one million
Gramophone_record,What was an early took used to amplify sounds?,vacuum tubes
British_Isles,How large is the Irish diaspora that was caused by the Great Irish Famine?,fifteen times the current population of the island
American_Idol,Who joined Idol as a sponsor in season seven?,iTunes
Saint_Helena,What kind of citizenship do the citizens of Saint Helena hold?,British Overseas Territories citizenship
Premier_League,What are the Premier League's revenues for 2009-10?,total club revenues of €2.48 billion in 2009–10.
51st_state,How many members did the Party of Reconstruction in Sicily have in 1944?,"40,000 members"
Clothing,What is a feature of sweatshops beyond lack of benefits and representation?,long work hours
Canon_law,What profesional roles from secular law does the Catholic Church also employ?,"lawyers, judges"
Korean_War,What nation ruled Korea in 1910?,Japan
Comics,"The popularity of the Watchmen, The Dark Knight Returns and what other comic helped popularize ""graphic novel"" as a term?",Maus
Paris,In what year did the Crazy Horse Saloon open?,1951
Warsaw,What car is licensed by the FSO Car Factory and built in Egypt?,"['125p', 'Polonez']"
Genome,Who was the first person to sequence a viral genome?,Walter Fiers
Circadian_rhythm,What is the plant expression of circadian rhythm?,when to flower
Pope_Paul_VI,What were revised between 1951 and 1955?,Easter liturgies
Insect,What is the term for the class of insects with wings?,Pterygota
Beyoncé,What song did Beyoncé release as the lead single from The Fighting Tempations?,Fighting Temptations
Civil_disobedience,Thoreau mentions what type of person could corrupt a government system?,"['elite politicians', 'individuals']"
Pharmaceutical_industry,What was the name of the first synthetic bacterial drug?,arsphenamine
Hunting,What is the practice of killing or trapping any animal called?,Hunting
Karl_Popper,Whose theory of truth did Popper read with intense interest in 1935?,Alfred Tarski
"Charleston,_South_Carolina",What year was the Silas N. Pearman Bridge built?,1966
Old_English,What language influenced Old English as a result of the Viking invasions?,Danish
2008_Sichuan_earthquake,How many people were buried in the collapsed schools?,"1,700"
Antenna_(radio),A balun should be integrated into what?,matching network
Pacific_War,Did Japan and Germany work closely together prior to 1944?,little coordination
Rhine,What is the lower canal regulation of the Rhine?,Fußach
Gramophone_record,What were potential benefits of the CD-4 format?,reduced distortion and greater headroom
Communications_in_Somalia,Howmany governemnt run channels do Puntland and Somaliland regions have?,one
Roman_Republic,How many plebeian families had an identical standing as the old aristocratic patrician families?,A small number
Miami,What part of Coconut Grove houses the city hall of Miami?,Dinner Key
Web_browser,"In addition to accessing the Internet, browsers can also access info that is put there by web servers in what?",private networks
Gramophone_record,How early were electrically recorded discs made available for purchase?,1925
Russian_Soviet_Federative_Socialist_Republic,To what position was Malenkov demoted?,deputy Prime Minister
Pharmaceutical_industry,What is involved in drug discovery?,isolating the active ingredient from traditional remedies or by serendipitous discovery
Gene,How many genes are essential for Escherichia coli?,250–400
Dissolution_of_the_Soviet_Union,Where was the moleben held?,in front of St. George's Cathedral.
Macintosh,What was established for bringing Apple's design work in-house?,the Apple Industrial Design Group
Infection,What type of medium is provided for a specific agent in a microbial culture?,growth
Bern,What was the vacancy rate for Bern in 2010?,.45%
Melbourne,By what year did fewer than 240 wealthy Europeans hold all the pastoral licenses?,1845
Wood,In what part of a tree's cross-section is heartwood visible?,growth rings
Economic_inequality,How do socialists think the means of production should be owned?,socially
Josip_Broz_Tito,In what year did Tito start working in Arab Israeli peace processes?,1967
Muammar_Gaddafi,Gaddafi was an avid reader. Name three biographies that he read.,"Abraham Lincoln, Sun Yat-sen, and Mustafa Kemal Atatürk"
Ottoman_Empire,What was the main obstacle to the expansion of the Ottoman empire into the peninsula of Italy??,Albanian resistance
Transistor,In what year was the point-contact transistor invented?,1948
Frédéric_Chopin,Which of Chopin's works shows more folk aspects?,mazurkas
North_Carolina,Where is Croatan National Forest located?,Eastern North Carolina
Brigham_Young_University,Who designated BYU as having high research activity?,Carnegie Foundation for the Advancement of Teaching
Race_(human_categorization),What did C. Loring Brace observe about about variations?,distributed along geographic gradations or clines
Madonna_(entertainer),What did Madonna use in her concerts?,hands-free radio-frequency headset microphones
Estonian_language,What year was the priests' grammar book put into print?,1637
Paper,What type of paper is paper made from chemical pulps known as?,wood-free
Macintosh,"How much did the television commercial ""1984"" cost?",US$1.5 million
Royal_Dutch_Shell,"Prior to the 1990s, Shell's downstream businesses were essentially considered what kind of businesses?",local
"Raleigh,_North_Carolina",What was Raleigh captured by in the Civil War?,Union cavalry
Kathmandu,"In addition to Hindus, who regards the Bagmati River as sacred?",Buddhists
John_Kerry,When did Kerry become a navy officer?,"December 16, 1966"
Antibiotics,What do plasmids do in resistance?,carry several different resistance genes
Gymnastics,When did Japan hold the first of the Men's Rhythmic Gymnastics World Champtionship?,"November 27–29, 2003"
Greece,The main gods of ancient Greece known as the what?,Dodekatheon
Eton_College,How many swimming pools are located within Eton?,two
Economic_inequality,What does Kuznets' curve predict about income inequality given time?,"['decrease', 'eventually decrease']"
Sichuan,When were the Chronicles of Huayang compiled?,the Jin dynasty (265–420)
Police,Why did New York State ban unmarked cars for traffic cops?,it endangered motorists who might be pulled over by people impersonating police officers
Houston,What was Houston's gross domestic product in 2012?,$489 billion
Computer_security,Where does the CCIRC post regular cyber security bulletins?,on the Public Safety Canada website
Glacier,Under what circumstances do glaciers form?,where the accumulation of snow and ice exceeds ablation
Canon_law,What language is used by members of the Orthodox denomination?,Greek
Hellenistic_period,Rulers brought the concept of divinity to where?,down to earth
Greece,The Illyrian ecoregion is known as what?,deciduous forests
Oklahoma_City,How many households were in Oklahoma city?,"230,233"
England_national_football_team,Approximately how many total viewers watched the England World Cup qualifier on the internet on 10 October 2009?,"500,000"
Separation_of_church_and_state_in_the_United_States,Excessive entanglement occurs when a state policy results in a close relationship of what?,government with religion
Egypt,What direction did the Egypt economy take in the 1960s?,went from sluggish to the verge of collapse
Economic_inequality,What does the capabilities approach look at poverty as a form of?,"['capability deprivation', '“capability deprivation”']"
Mexico_City,How many people ride the metro system each day?,4.5 million
North_Carolina,What Hall of Fame is located in Raleigh?,North Carolina Sports Hall of Fame
Huguenot,What leader led the Dutch Revolt and wrote Apologie?,"[""Pierre L'Oyseleur"", 'William the Silent']"
New_York_City,How many structures in New York City are over 100m tall?,550
Renewable_energy_commercialization,Photovoltaic and solar-thermal plants may meet most of the world's demand for electricity by what year?,2060
Age_of_Enlightenment,What collection of cheaply produced books represents the lower class' desire to participate in the Enlightenment?,Bibliothèque Bleue
Freemasonry,Maria Deraismes and who else started a mixed masonic lodge?,Georges Martin
"Tucson,_Arizona",Who bought the Fort Lowell sanitarium in 1928?,Harvey Adkins
John_von_Neumann,In what year was von Neumann diagnosed with cancer?,1955
Intellectual_property,Who said the term 'intellectual property' should be rejected altogether?,Richard Stallman
Islamism,The Brotherhood's members are against consuming what beverage?,alcohol
Cork_(city),Where does the main rail originate?,Dublin Heuston
Sino-Tibetan_relations_during_the_Ming_dynasty,In what years was Töregene Khatun the regent of the Mongol Empire?,1241–1246
Supreme_court,The Court of Appeals is the high court in which US States or territories?,"New York, Maryland, and the District of Columbia"
Near_East,What has had parallel growth of in the 20th century?,the collection of resources
American_Idol,On what date did American Idol air its season six finale?,May 23
Seattle,During WWII what company added substantially to Seattle's economy?,Boeing aircraft
History_of_India,On what type of clash is the Mahabharata thought to have been based?,small-scale conflict
Sichuan,What is often done with Sichuan's natural gas reserves?,transported to more developed eastern regions
Modern_history,Who was behind the death off Emperor Aurangzeb?,Hindu Maratha Empire
Super_Nintendo_Entertainment_System,What was Sega's CD add-on?,Mega-CD
Treaty,The agreement that contained specific provisions related to the United Nations Framework Convention on Climate Change is an example of what agreement that supplements a treaty?,Protocol
Arsenal_F.C.,What film featured a Arsenal play in  derogatory way?,The Full Monty
Southampton,In what decade did the Southern Railway Company commission the program that created the Western Docks?,1930s
Czech_language,What is the most commonly spoken non-English language at homes nationwide in the U.S.?,Spanish
Bacteria,"What would original term ""bacteria"" determine?","all microscopic, single-cell prokaryotes"
Religion_in_ancient_Rome,What action was not to be sought by state diviners?,foretelling the future
Post-punk,"What writer advocated ""overground brightness""?",Paul Morley
Clothing,What may have the invention of clothing happened with?,northward migration
History_of_India,Who made the Marathas a strong power?,Peshwa Bajirao I
Houston,How long was the first light rail line in Houston?,about 8 miles
Genocide,What court was established under the aegis of the United Nations to prosecute genocidal crimes in Rwanda?,International Criminal Tribunal for Rwanda (ICTR)
"John,_King_of_England",John marched against who in January 1216?,Alexander II of Scotland
Spectre_(2015_film),Who was responsible for leaks of Sony movie projects?,hackers
Freemasonry,What is the oldest written document about Freemasonary?,Regius Poem
MP3,Which website offered MP3s for free?,mp3.com
Russian_language,What does Arefyev say is happening to Russian?,In the countries of the former Soviet Union the Russian language is gradually being replaced by local languages.
Georgian_architecture,What was the only city where working class purpose built tenements common?,Edinburgh
Spectre_(2015_film),What is the name of the Spectre assassin who tracks Bond?,Mr. Hinx
Religion_in_ancient_Rome,What act was repulsive to Romans?,Human sacrifice
Alps,What can be found in the streams up to the snow line?,Brown trout
Estonia,What year did minorities in Estonia make up more than a third of the country?,1989
Cubism,What 1910 piece did Albert Gleizes present in that show that introduced Cubism to the USA? ,La Femme aux phlox
LaserDisc,"In contrast to broadcast, which format did consumers use in Hong Kong?",NTSC
Alfred_North_Whitehead,How does Whitehead describe the judgment of God?,It is the judgment of a tenderness which loses nothing that can be saved.
Zhejiang,More than how many thousand folk religious organisations were registered in Zhejiang in 2015?,twenty
Germans,What year did BBC reveal that Germany is the most positive influence in the world?,2010
Hunting,What type of hunting is most closely associated with the UK?,fox hunting
Alexander_Graham_Bell,What kind of transmitter did Bell put in his telephone?,liquid
Imperial_College_London,How many staff members did Imperial claim to have in 2014?,"1,257"
Infrared,"Along with pyrometers, what devices can receive inaccurate results if emissivity is not set correctly?",infrared cameras
Diarrhea,What can be done to combate dietary deficiences?,promoting better eating practices
Cotton,What bacterium is used to produced GM cotton?,Bacillus thuringiensis
History_of_science,"In history, where could you find someone studying politics?",in almost every geographic area
YouTube,Youtube intends for users to watch videos where?,through its website
Geology,What are among the most well known experiments in structural geology? ,"['those involving orogenic wedges', 'orogenic wedges', 'involving orogenic wedges']"
Protestantism,What is the second principle of Protestantism?,sola fide (by faith alone)
Pain,What is injected in small amounts into the soft tissue between vertebrae to produce local pain?,hypertonic saline
Somalis,What sort of meat is sold in Somali businesses in Minneapolis?,halal
Greece,Greece has been a member of what agency since 2005?,European Space Agency (ESA)
The_Sun_(United_Kingdom),What did Piers Morgan offer opinions about in a late 1980s column?,the sexuality of male pop stars
Copper,What is the minimum amount of copper rabbits should have in their diet?,3 ppm
Brain,The foremost part of the brain in mammals is known as what?,(the telencephalon
Cardinal_(Catholicism),What happens if a Pope is elected who is not a bishop?,"he is consecrated by the Dean of the College of Cardinals, the Cardinal Bishop of Ostia."
North_Carolina,What stretch of the railroad was vital to the confederates in the civil war?,Wilmington-to-Raleigh stretch
Hyderabad,In 2010 what percentage of India's bulk pharmaceuticals were produced in Hyderabad?,one third
Animal,How are cells held in place in plants and fungi?,cell walls
Treaty, A treaty breach does not necessarily affect treaty relations depending on how serious the other parties view the breach and what other factor?,how they resolve to respond to it
Guam,What was the date on the attack of Pearl Harbor?,"December 7, 1941"
Montevideo,Where is the Museo Naval located?,the eastern waterfront in Buceo
Valencia,Who offered troops to the King?,General Elio
Pub,What establishments did beer houses become after buying an additional license?,pubs
Financial_crisis_of_2007%E2%80%9308,What firm filed the largest bankruptcy in U.S. history?,Lehman Brothers
Black_people,What does mauron mean?,black
Separation_of_church_and_state_in_the_United_States,What is the profession of Philip Hamburger?,professor
Melbourne,Which tower is Melbourne's second tallest?,The Rialto
Universal_Studios,Universal's deal with what company ended in 2013?,Elliott Management
San_Diego,What percentage did the crime rate in San Diego drop from 2002 to 2006?,0.8%
Himachal_Pradesh,Who administered the oath of office and secrecy?,Governor Urmila Singh
Chicago_Cubs,When did Tom Ricketts and Crane Kenney unveil plans for a five-year funded renovation of Wrigley Field?,2013
Catalan_language,What other type of endings do Catalan words have?,consonant clusters
Civil_disobedience,Stephen Eilmann asks why show public civil disobedience instead what is a better idea?,"['lawbreaking', 'covert lawbreaking']"
Glass,What type of metal makes better alloys than traditional steel?,amorphous steel
Alps,Where is Emosson located?,"Valais, Switzerland"
Antibiotics,Who regulates antibiotic approval?,FDA
Yale_University,What are Yale's colleges encircling?,a courtyard
Paris,What industry had the lowest percentage of jobs in Paris of 2012?,agriculture
Nutrition,"Other than time consuming, what else are nutritional studies due to their length and variable count?",expensive
Liberia,"In 2007, when seeking attention, selection or service . What percent of Liberians had to pay a bribe?",89%
Arena_Football_League,What month did the 2015 AFL season end?,August
Gramophone_record,Does it matter at which speed a disc is spun?,correct speed
Sichuan,What was Sichuan referred to as by ancient Chinese sources?,Ba-Shu
Hellenistic_period,What region was the center of the Odrysian Kingdom?,Thrace
Apollo,What was the term for hymns sung to Apollo?,paeans
Geological_history_of_Earth,What continent moved to the southern-most part of the earth in the Cambrian era?,Gondwana
2008_Sichuan_earthquake,Why was it not included in the series?,because it was caused by a different fault.
Adolescence,What is another term for legal adulthood?,age of majority
Carnival,What's the name of the Christian festive season that occurs before the season of Lent?,Carnival
Switzerland,"According to the Federal Constitution, how many cantons are equal in status?",all 26
Alaska,What religious tradition may be a problem for Alaskan Jews?,observance of halakha
Molotov%E2%80%93Ribbentrop_Pact,Who predicted soviet aggression in the Baltic region?,Britain
Predation,"If scavengers' food becomes scarce, they may turn to what type of diet?",herbivorous
Solar_energy,What kind of system is a solar chimney?,passive solar ventilation
Buddhism,What religion is practiced by an estimated 488 to 535 million people?,Buddhism
Nanjing,What is the overwhelming ethnic majority in Nanjing?,Han nationality
Canadian_Armed_Forces,What military thread did the CAF protect against in Europe?,the Soviet military threat
Egypt,What year was Aswan High Dam completed?,1970
Financial_crisis_of_2007%E2%80%9308,"Before its failure, which savings and loan association was the seventh largest mortgage originator in the United States?",IndyMac Bank
Uranium,What was the job title of Orso Mario Corbino?,Dean of the Faculty of Rome
Clothing,Poor conditions found in developing countries may also be found in what type of nations?,industrialized
Time,What Newtonian concept can be used in the formulation of an idea for the synchronization of clocks?,"concept of ""relative, apparent, and common time"""
San_Diego,What was the population increase in San Diego from 2009 to 2010?,just under 7%
Railway_electrification_system,What came with lesser lesser cost mobile conversion hardware or stationary hardware?,stationary hardware
House_music,what was different about the bass-line in the hip-hop influenced house songs?,more rugged
2008_Summer_Olympics_torch_relay,The Olympic relay had the same security precautions taken as what other special day?,Republic Day
2008_Summer_Olympics_torch_relay,What was the unsanctioned alternative relay called?,Human Rights Torch Relay
Houston,From what building do the two public radio stations broadcast?,Melcher Center for Public Broadcasting
Liberia,How did the republic of liberia begin?,as a settlement of the American Colonization Society (ACS)
Rhine,The Rhine and what other river drained the northern flanks of the alps?,Danube
Intergovernmental_Panel_on_Climate_Change,Where was the Feb 2010 call for change published?,the journal Nature
Carnival,What city's carnival was the most famous for a long time?,Venice
IPod,Which company provides the ability to connect to iPods as a standard feature in their automobiles?,Scion
Hanover,What destroyed the palace?,Allied bombing
Alps,What is an example of a valley carved by glaciers during the ice ages? ,The Inn valley
Exhibition_game,Where is the Sprint All-Star Race held?,Charlotte Motor Speedway
Zhejiang,What direction is the economic heart of Zhejiang moving toward?,southeast
"New_Haven,_Connecticut",What canal lies adjacent to the Historic New Haven and Northamption company trail?,Farmington Canal
Department_store,What company operates Sears Mexico? ,Grupo Carso
Royal_Dutch_Shell,What conditions caused the delay of drilling in mid-2012?,difficult weather
Airport,When were jet bridge systems introduced to modern airport terminals?,early 1960s
Paris,How many 3 star Michelin restaurants were in France in 2015?,29
Supreme_court,What court has supremacy for matters of social security?,Bundessozialgericht
Brain,The suprachiasmatic nucleus is a small part of what part of the brain?,the hypothalamus
John_von_Neumann,At what age was Von Neumann familiar with calculus?,8
Warsaw,When was the Royal University of Warsaw established?,1816
Anthropology,From how many nations does the WCAA boast members from?,about three dozen
Baptists,What was named after the slave port of Calabar?,Jamaica's Calabar High School
Beyoncé,When did Beyoncé release her fifth studio album?,"December 13, 2013"
Southern_Europe,When were there many struggles for independence or overthrowing prevailing governments?,between 1815 and 1871
Slavs,"What slavic word denotes ""foreign people?""",němci
Annelid,What type of tissue takes up most of the body of a leech?,connective tissue layer of the body wall
Westminster_Abbey,What is the name of the throne used for coronation?,King Edward's Chair
Macintosh,When was the Power Mac G4 discontinued?,July 2001
Dominican_Order,What did the English Order not care about?,the stigmata
Gramophone_record,What was a benefit of early radio recordings?,microphones and amplifiers
Catalan_language,What comprises the standard pronunciation of Catalan?,Central Catalan
"John,_King_of_England",When did John leave for Poitou?,February 1214
YouTube,What option besides removing the video does youtube grant copyright holders?,have them continue running for revenue
Mosaic,Who created the mosaics in the Great Mosque in Corduba?,local craftsmen
Insect,What part of the insect contains most of the sensing organs?,head
Sino-Tibetan_relations_during_the_Ming_dynasty,Who was the superior of prince Kublai?,Ögedei Khan
Pharmacy,What type of professional is a Pharmacy Technician considered to be?,"['pharmacy health care', 'health care professional']"
Dialect,The conquest of western Ukraine by what country altered the language of Ukraine?,Polish-Lithuanian Commonwealth
Zhejiang,What percent of Zhejiang was Protestant in 1999?,2.8%
Germans,How many natives speak German?,100 million
Computer,Computers that have multiple ALUs are called what?,Superscalar
Letter_case,Which kind of purpose is uppercase reserved for in orthography?,special
Alps,When did the tourism industry begin? ,the early 19th century
Mexico_City,What division are the Mexico City soccer teams in?,First
United_States_dollar,What does CPI stand for?,consumer price index
Umayyad_Caliphate,In what battle was the Medinese opposition movement defeated?,Battle of al-Harrah
Economic_inequality,What does high levels of inequality do to growth in poor countries?,"['reduce growth', 'reduce']"
Kanye_West,What was the name of the CD that Kanye recorded based on his failed college experience?,College Dropout
Xbox_360,What resolution are videos sold through this service?,720p
Frédéric_Chopin,What nationality is stated as the one Frédéric felt most identified by?,Polish
Botany,"Besides the Greeks, what other culture contributed to the study of botany?",medieval Muslim world
Steven_Spielberg,When was 'Bridge of Spies' set?,1960
Hindu_philosophy,Of what does Dvaita Vedanta theorize the existence?,two separate realities
Somerset,who started drainage of the Somerset levels ,"the Romans, and was restarted at various times: by the Anglo-Saxons"
USB,What does the USB specification limit?,the inrush current
